company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-5,,2022-01-01,2022-12-31,133
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,CoSelectedMeasureAmt,iso4217:USD,c-5,,2022-01-01,2022-12-31,39120000000
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeoTotalCompAmt,iso4217:USD,c-6,,2021-01-01,2021-12-31,24353219
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-6,,2021-01-01,2021-12-31,115175594
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-6,,2021-01-01,2021-12-31,9289461
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-6,,2021-01-01,2021-12-31,40940768
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,TotalShareholderRtnAmt,iso4217:USD,c-6,,2021-01-01,2021-12-31,167
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-6,,2021-01-01,2021-12-31,123
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,CoSelectedMeasureAmt,iso4217:USD,c-6,,2021-01-01,2021-12-31,25240000000
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,NamedExecutiveOfficersFnTextBlock,,c-1,,2025-01-01,2025-12-31,SCT Total.
